  m0  m1   c0   c1  c0^c1
0f3b 8f3b 1c57 9c57 8000
0f42 8f42 3039 b039 8000
0f49 8f49 3c74 bc74 8000
0f59 8f59 3c75 bc75 8000
0f5b 8f5b 3c55 bc55 8000
0f60 8f60 7469 f469 8000
0f62 8f62 1219 9219 8000
7005 f005 0e35 8e35 8000
7007 f007 0e01 8e01 8000
7009 f009 2c15 ac15 8000
700b f00b 2c21 ac21 8000
7017 f017 1d33 9d33 8000
701b f01b 1d13 9d13 8000
7035 f035 1d27 9d27 8000
7037 f037 1d31 9d31 8000
7039 f039 1d07 9d07 8000
703b f03b 1d11 9d11 8000
7047 f047 1f31 9f31 8000
704b f04b 3d11 bd11 8000
7055 f055 1f25 9f25 8000
7057 f057 1f11 9f11 8000
7059 f059 3d05 bd05 8000
705b f05b 3d31 bd31 8000
7067 f067 0e21 8e21 8000
706b f06b 2c01 ac01 8000
70d7 f0d7 0c23 8c23 8000
70db f0db 0c03 8c03 8000
70f5 f0f5 0c37 8c37 8000
70f7 f0f7 0c21 8c21 8000
70f9 f0f9 0c17 8c17 8000
70fb f0fb 0c01 8c01 8000
712c f12c 4f74 cf74 8000
712d f12d 4f15 cf15 8000
7174 f174 415f c15f 8000
717d f17d 4f35 cf35 8000
718c f18c 4d76 cd76 8000
718d f18d 4d35 cd35 8000
7194 f194 615d e15d 8000
719d f19d 4d37 cd37 8000
71ac f1ac 4d56 cd56 8000
71ad f1ad 4d15 cd15 8000
71b4 f1b4 437d c37d 8000
71bd f1bd 4d17 cd17 8000
71cc f1cc 6d54 ed54 8000
71cd f1cd 6d35 ed35 8000
71e4 f1e4 417f c17f 8000
71ed f1ed 6d15 ed15 8000
722c f22c 6931 e931 8000
722d f22d 6911 e911 8000
722e f22e 4b11 cb11 8000
722f f22f 4b31 cb31 8000
727c f27c 6930 e930 8000
727e f27e 4b10 cb10 8000
728c f28c 4911 c911 8000
728d f28d 4913 c913 8000
728e f28e 4931 c931 8000
728f f28f 4933 c933 8000
729c f29c 4910 c910 8000
729e f29e 4930 c930 8000
72ac f2ac 5910 d910 8000
72ad f2ad 5912 d912 8000
72ae f2ae 5930 d930 8000
72af f2af 5932 d932 8000
72bc f2bc 4900 c900 8000
72be f2be 4920 c920 8000
72cc f2cc 7930 f930 8000
72cd f2cd 7910 f910 8000
72ce f2ce 5b10 db10 8000
72cf f2cf 5b30 db30 8000
72ec f2ec 6920 e920 8000
72ee f2ee 4b00 cb00 8000
732c f32c 6910 e910 8000
732d f32d 2935 a935 8000
732e f32e 4b30 cb30 8000
732f f32f 0b15 8b15 8000
737d f37d 2915 a915 8000
737f f37f 0b35 8b35 8000
738c f38c 4912 c912 8000
738d f38d 0915 8915 8000
738e f38e 4932 c932 8000
738f f38f 0935 8935 8000
739d f39d 0917 8917 8000
739f f39f 0937 8937 8000
73ac f3ac 4902 c902 8000
73ad f3ad 1914 9914 8000
73ae f3ae 4922 c922 8000
73af f3af 1934 9934 8000
73bd f3bd 1916 9916 8000
73bf f3bf 1936 9936 8000
73cc f3cc 6900 e900 8000
73cd f3cd 3934 b934 8000
73ce f3ce 4b20 cb20 8000
73cf f3cf 1b14 9b14 8000
73ed f3ed 3914 b914 8000
73ef f3ef 1b34 9b34 8000
7505 f505 0e05 8e05 8000
7507 f507 0e25 8e25 8000
7509 f509 2c25 ac25 8000
750b f50b 2c05 ac05 8000
7515 f515 1d25 9d25 8000
7519 f519 1d05 9d05 8000
7535 f535 1d35 9d35 8000
7537 f537 1d37 9d37 8000
7539 f539 1d15 9d15 8000
753b f53b 1d17 9d17 8000
7545 f545 1f05 9f05 8000
7549 f549 3d25 bd25 8000
7555 f555 1f15 9f15 8000
7557 f557 1f35 9f35 8000
7559 f559 3d35 bd35 8000
755b f55b 3d15 bd15 8000
7565 f565 0e15 8e15 8000
7569 f569 2c35 ac35 8000
75d5 f5d5 0c35 8c35 8000
75d9 f5d9 0c15 8c15 8000
75f5 f5f5 0c25 8c25 8000
75f7 f5f7 0c27 8c27 8000
75f9 f5f9 0c05 8c05 8000
75fb f5fb 0c07 8c07 8000
772c f72c 4f55 cf55 8000
772d f72d 4f75 cf75 8000
7771 f771 415d c15d 8000
777c f77c 4f54 cf54 8000
778c f78c 4d75 cd75 8000
778d f78d 4d77 cd77 8000
7791 f791 617d e17d 8000
779c f79c 4d74 cd74 8000
77ac f7ac 4d55 cd55 8000
77ad f7ad 4d57 cd57 8000
77b1 f7b1 435d c35d 8000
77bc f7bc 4d54 cd54 8000
77cc f7cc 6d75 ed75 8000
77cd f7cd 6d55 ed55 8000
77e1 f7e1 417d c17d 8000
77ec f7ec 6d74 ed74 8000
7871 f871 6139 e139 8000
787f f87f 4119 c119 8000
7891 f891 7128 f128 8000
789f f89f 5108 d108 8000
78b1 f8b1 5308 d308 8000
78bf f8bf 5128 d128 8000
78e1 f8e1 4319 c319 8000
78ef f8ef 4139 c139 8000
7909 f909 3d45 bd45 8000
790b f90b 3d71 bd71 8000
7913 f913 3119 b119 8000
791b f91b 1d73 9d73 8000
7939 f939 1d67 9d67 8000
793b f93b 1d71 9d71 8000
7943 f943 111b 911b 8000
794b f94b 1f71 9f71 8000
7959 f959 1f65 9f65 8000
795b f95b 1f51 9f51 8000
7963 f963 113b 913b 8000
796b f96b 3d51 bd51 8000
79d3 f9d3 1339 9339 8000
79db f9db 1d53 9d53 8000
79f9 f9f9 1d47 9d47 8000
79fb f9fb 1d51 9d51 8000
7a74 fa74 6119 e119 8000
7a7e fa7e 411b c11b 8000
7a94 fa94 7108 f108 8000
7a9e fa9e 510a d10a 8000
7ab4 fab4 5328 d328 8000
7abe fabe 512a d12a 8000
7ae4 fae4 4339 c339 8000
7aee faee 413b c13b 8000
7b09 fb09 3d75 bd75 8000
7b0b fb0b 3d55 bd55 8000
7b12 fb12 3139 b139 8000
7b19 fb19 1d65 9d65 8000
7b39 fb39 1d75 9d75 8000
7b3b fb3b 1d77 9d77 8000
7b42 fb42 1119 9119 8000
7b49 fb49 1f45 9f45 8000
7b59 fb59 1f55 9f55 8000
7b5b fb5b 1f75 9f75 8000
7b62 fb62 1139 9139 8000
7b69 fb69 3d65 bd65 8000
7bd2 fbd2 1319 9319 8000
7bd9 fbd9 1d45 9d45 8000
7bf9 fbf9 1d55 9d55 8000
7bfb fbfb 1d57 9d57 8000
7c13 fc13 340d b40d 8000
7c15 fc15 140f 940f 8000
7c43 fc43 351d b51d 8000
7c45 fc45 151f 951f 8000
